"","text"
"843","   able  tell alexia  music    hear  sometimes   trouble finding  song   am   specific   title"
"844","   looks    original echo   moved   echo   basement family  nice sound"
"845"," echo  wonderful  im  learning     music requests  somewhat limited"
"846","doesnt  half    cant recognize  sprinkler wifi controller   product details    compatible cant program  change  wifi thermostat settings   matched    wifi router   handy music player thats    amazon music"
"847","love "
"848","awesomeunderstands  kids"
"849","  pleasantly surprised   sound quality    features  nice  easily hear  particular artist  hear  books    simple command looking forward  exploring  options   device"
"850","met  exceeded  expectations easy set     quick  responses"
"851","           music  prime     request  alexa  liked  informative photo little pamphlet  wish  included   connect  tv etc   commands  alexa    love   music"
"852","   found    access  echo thorough  prime account          top line  video music etc      setup app   define  example music      integrated  echo    tried     playlist  echo       set  play list   settings           words    exact match   playlist names     rememberi   ready nature  echo  respond    queries"
"853","   item   added audible books  makes    thank "
"854"," prime day  nd gen echo   sale   couldnt resist    beginning   smart home set    couldnt  happier    alexa    amazing job connecting     smart devices thanks     control  lights smart plugs tv etc    trouble connecting  echo   wifi   phone  app  perfectly fine     add skills routines smart devices timers     sound quality        am   audiophile alexa  hear  voice   watching movies    volume design    modern   definitely add  nice touch   home    change  covers  youd       sale overall     addition   home  enables   possibilities   havent     add alexa   home"
"855","versatile  fun "
"856","  killer speaker  wife  son love "
"857"," regret waiting    purchase  item    surprised  pleased   sound quality"
"858","stopped    weeks didnt follow commands  fun    "
"859","  love    getting   set  love  grocery list app"
"860"," performs pretty   expected   am  disappointed    provide    terminology    play various kinds  music  subscribing   amazon music service   understand  music choices   limited   knowing      access  music   provided free    echo purchase      chart   language    "
"861","easy  set "
"862","   product except   speakers     quality  expected"
"863","  investment alexa  helped      laugh"
"864","  exho   home  love  "
"865"," love    plan  gender  music   band  jazz  easy    local radio sound      stop    voice command     phone call"
"866"," value"
"867","super easy set   am loving   echo"
"868","whats      speaker    alexa"
"869"," fathers day gift dad joked   mom  alexa     listening     repeated stories  forward"
"870"," addition   breakfast  kitchen  tunes  information instantly available  slowly learning  features"
"871","sound quality"
"872","sad joke worthless"
"873","entertainment"
"874","  quality"
"875","  sounds    miss  beat wish    battery   portability"
"876","loved  till  stoled  cant afford  replace     am  "
"877","alexa rocks"
"878","    gift  love      bought          allows   play music     amozon prime music   thats worth         news briefs  tells jokes"
"879",NA
"880"," mom bought   echo dots  repeated       hers       told     days        hours     live  life      amazing       speakers     echo dot     returning      youre     alexa speaker      echo otherwise toull  returning   echo dots  couldnt live "
"881","love   product"
"882","easy set   user friendly"
"883"," disappointed alexa    plugin  wall socket   time   fault   checking     assumption   company  technologically advanced  amazon  sell  product   rechargeable battery     return      apple music  boom speaker    flexibility  alexa"
"884"," dont    nd gen  sounds     st       aux     add  external speaker           wouldnt     dot  nd issue   isnt unique   unit   dont understand   cant override  default  prevents   playing  blue tooth speaker  playing            delay  using  bt speaker      units       heard     able  play     using  bt speaker"
"885",""
"886","   interaction   questions  dont    cant    setup schedule      connected lamp"
"887","supberb sound definitely worth  extra money   listen  lots  music"
"888","  love  amazon echo    sound quality       lot  fun      handy  music    updates   weather  sports"
"889","love      grandkids"
"890","        intuitive     link  devices  skills  getting  hang  "
"891","  advertised"
"892"," love "
"893","love   addition   house speaker quality       love  alexa      complaints  suggestions   future series    communication ability example   smart lights   house unless  specify kitchen light   kitchen light  prior   command   wont respond    doesnt recognize         alexa  respond    thank  afterwards    repeat alexa thank     times  wont respond      husband    sounds odd  laugh    maybe   southern      alexa   manners "
"894","     music  trivia games  weather"
"895"," described  received  time     automatic enrolment  music"
"896","  device"
"897"," owned  echo  overa     lacks  easy   increase  decrease volume  telling   increase  decrease volume   hard     wife  english    language   born  korea   sound   echo  superb    "
"898","love       kitchen   "
"899"," nice  im impressed  wish      "
"900","love  product nice   easy access    info"
"901","   sound  bass   doesnt     time   hot  miss   recognizes "
"902","   discovering    echo  "
"903","amazing paroduct"
"904"," hearing range  sound quality    bit complicated  set    doesnt  understand   lot    am speaking slowly     love  flash briefing feature  interfacing   abode home security system"
"905","speaker sounds "
"906","absolutely love"
"907","     product    control  thermostat  lights   house   isnt   dislike"
"908"," thoroughly enjoying  amazon echo installation  easy using  alexa app  purchased  kasa smart plugs  control  living  lights installation   easy using  kasa app  sinqued     echo  enjoying playing music   echo   sound quality  awesome weve added  kasa smart bulb   kitchen setup  seamless  looking forward  adding  automation   home"
"909","home entertainment"
"910"," cool product easy  setup fun    sound quality      anticipated"
"911","love    sound easy  connect  "
"912","doesnt    fairly  smart tv  thats mainly  tv manufacturerslg fault due   supporting    tvs     smart locks    additional piece  equipment    connect   speakers sound     "
"913"," sound   little speaker"
"914"," enjoy "
"915",NA
"916","cool"
"917"," quality  sound quality"
"918"," perfectly"
"919"," product sometimes alexa   understand  commands   fire tv       fabulous speaker"
"920","love  echo  sound  smart"
"921","   love  "
"922","plays "
"923"," absolutely "
"924"," amazing product  sound quality"
"925","  ive invested     thank    "
"926"," am extremely impressed   item bought     warehouse    outlet     minor imperfection cant tell       didnt   packaging    sealed     damage  wasnt missing     sound quality    knock     bose        family easy   minor learning curve   learns  voice  integrates seamlessly    amazon servicescant wait     classroom    lot  fun     speaker     plan    "
"927"," love  echo          bedroom   wonderful music info sleeping sounds"
"928","awesome life changer seriously  am able  start  morning  alexa     wake      alarm   playing   music   gotten    voice            listen       love   echos dont hesitate      price  speaker  unbelievable  am buying  cordless holder      echo  love  purchase  love alexa"
"929"," am  super impressed  alexa   prime lapsed  wouldnt play   isnt smart   differentiate  spotify accounts   cant       randomly speaks     talking      unplugged hernot  ill    alexa "
"930","     "
"931","liked "
"932","   issue  buying  electronics            read  comment      "
"933"," family  loves   echo"
"934","bought   wife  loves "
"935","fun        pod     car        house"
"936","    "
"937","   third echo worth  penny     household employees    flat rate      bedrooms   living    dropin      intercom listen  music answer quick questions alarms  wake   school etc"
"938","listen music  set timer"
"939"," received  echo  perfect condition  device  easy  set   responds quickly    issues alexa    addition   family"
"940"," sound    music  scheduling      random  recorded       jokes  cute"
"941","purchased     am  beginning  learn         am  pleased  amazed    actions   perform  am enjoying   looking forward  learning    options  provides"
"942"," echo            "
"943","funny   buy     looks fun   winds    totally useful    home  loving "
"944"," bought   replace   dot    living  speaker  slightly   hears     tv unfortunately  doesnt understand  respond   requests     dot  frequently   request    times          dot usually  exactly       request  dont consider   upgrade"
"945","     experience      generation echo        learn       time     am  enjoying  music weather updates using  alarm feature   personality    purchased  mini smart socket yes  am  excited  begin using "
"946","im  trouble connecting  tv    im  exactly tech smart im     grandsons  figure       ive  using    music"
"947","simply love  echo  hardly watch  tv   anymore im  busy listening  music speaker  pretty goo   size   fun skills    echo fun    family"
"948","enjoyed entire echo experience"
"949","easy  set "
"950"," echo   amazing device   times    intuitive     times         simple    result  installation  fairly straightforward   messed   times simply     step  complete   wasnt   actually   lose ground   figured     advice    patient   app        move     stepmy biggest issue   moment      echo devices   home         intercoms   am told       cant     echos aware    existence     alexa      answers  instructions   change  name        fault      designers  anticipate     easier     instructions    deal   device savvy people   challenge  "
"951","  loving ours  "
"952","   original alexa   tap     nd generation    im happy      improvements    oneit      updates   little ais     help   lot   bugs       am  happy       play music throughout   house  adjust  bass  treble thank "
"953"," pleased   echo nd generation    nice   alexa available  music weather news  probably  lot   havent discovered"
"954"," am pleasantly surprised   sound quality   echo      fan  deep bass     sufficient     potential  control  home   option   explore    evolve  home   smart home  voice recognition   impressive   stylish  fun    regrets   purchase     technically changes people    play  song   movie   responds instantly     elderly loved       gift  connected  wifi    simple       unlimited music control     amazon prime  premium spotify     blown    personal dj     conversations   echo  am  embarrassed    echo    laugh  couple times      tell   joke  tells    packages    am  amazon prime addict  comes  extremely  handy"
"955","easy  setup love     "
"956"," alexa throughout  housethe future  arrived"
"957","    alexa   amazon      resist getting  echo                  house  couldnt  happier"
"958","arrived  expected"
"959","bought    weeks ago      product  excellent  dont forget  buy  charger         outside   pool     worry  hiring  electrician    outlets    yard"
"960","terrific"
"961","love  echo"
"962","    original looks nicer "
"963"," "
"964"," husband       call  late adopters      technology   decide   try  echo  serve primarily   music source  wow   amazed    sound  weve      time listening     favorite songs buy   alexa     buy    elderly dad      enjoy    listen  music     calls  "
"965","   enjoyed   changing  directv channels plays iheartradio  pandora  adjusts  ac thermostat    living  lights  outside lights"
"966","            bought  prime day  absolutely love "
"967","   glad     echo   bluetooth speaker alexa     stuff    smart speakers    personally love  timer feature   helped   cooking multiple  simultaneously pandora integration   feature    daily  happy   prime day purchase     echo hub     echo dots   future"
"968"," subject line  love "
"969","love "
"970"," easy setup"
"971","  hesitant  buy  echo     echo dot       echo    except  sound quality    didnt feel     am  glad      difference  sound    superior   echo dot    listen    showman   little  power"
"972","sound quality    learning           fun"
"973","   deal     prime  setup   bit   pain    fault  crappy internet service      nice sound   speaker"
"974"," love "
"975","  perfect   office"
"976","love    inside house     pool       bose speakers  house "
"977","easy  useamazing"
"978","nice product "
"979"," love  echo   totally amazed   speaker quality  bummed  didnt buy       prime day"
"980"," responsive  sound quality   size"
"981","  efficient  amazing   cool        day"
"982","im impressed   quality  sound   echo   definitely comparable   bose mini     stars   cant   apple music account"
"983","technology     device  price     sound  amazing    feature   home"
"984","mainly     music  im learning    time    bad    "
"985"," replaced  st gen  concerned    unit     soundi  wrong       volume      product"
"986"," addition   echo plus"
"987"," "
"988","love  feature  play music     multiple echos"
"989"," love alexa   am surprised     "
"990","   product  enjoyment    love "
"991","easy      soundit    purchase    price"
"992"," easy  set     issues"
"993"," unit add  pleasure   echo plus      music  information   home     "
"994"," extremely useful  simple   spotify  audible      sometimes  doesnt answer       nice  "
"995"," difficult  set     timing     enter  password"
"996"," getting   using  echo    shopping lists listening  music    timer    "
"997"," cool  lots  fun    week   learning  capabilities"
"998","love  love "
"999","love     hard time setting    apps"
"1000","     office     apartment  music  information"
"1001","   music  little hard  figure    "
"1002","         time   birthday gift   dad  loves   alexa     answer plus    homework   purchased   prime day   bathroom   im getting ready    listen  music  am   base  metro booming replacement   clock radio plus    echo dot   night stand   alarm clock"
"1003"," impressed  look clarity  sound  color"
"1004","alexa  amazing  speaker"
"1005"," getting   alexa dont   connected   tv          music  information    "
"1006","  sounds   house  barely sf     sitting   kitchen counter   hear   speak      lots  functionality   discover"
"1007","   pure fun   echo  weather jokes news briefing  music            lot  fun   money"
"1008","    time  especially  communicate  kids throughout  home"
"1009","love   learning makes  lot   easier    forget    light            alexa    light "
"1010","bought    daughter       loves    especially   calling feature   doesnt   cell phone   loves playing music  dancing   amazon music   play   favorite songs  sometimes       lol"
"1011","     wedding gift  havent discovered    features   update playing music   "
"1012"," am impressed   sound quality"
"1013"," pleased   purchase  echo smart speaker  love      play music   genres whenever  wanthad  trouble     wi fi     "
"1014","  wife   enjoy  ease  playing  music  games  fun  entertaining  look forward  adding  smart products   home"
"1015","    echo   love   helps    kitchen   set timers listen   news prepare grocery lists    music"
"1016"," sound quality    wish alexa  answer  questions"
"1017","    echo    dot   speaker  weak   purchased    listening  music  speaker  "
"1018"," sound"
"1019",""
"1020","       speaker  stream music weve    months    kinda useless"
"1021"," set   user friendly setup wasnt  user friendly  id hoped  alexa app   able  download   pc  installing invasive  drivers  wife     retired   wouldnt   able  install alexa    son wasnt supplying    smart phone  wouldnt  using alexa "
"1022"," easy set   enjoying "
"1023"," echo doesnt    built  battery      plugged    times    makes   inconvenient"
"1024"," compact   bit    original"
"1025"," love  pretty cool"
"1026","     living  music sounds     living     hear  upstairs"
"1027","    product  set   easy  sound  wonderful"
"1028","       bought     music    sounds pretty "
"1029","love "
"1030","love "
"1031","glad  bought "
"1032","  types  funmusic  "
"1033","   volume      top       quickly"
"1034","beyond  capabilities  program grandkids lve "
"1035"," love   echo     hours  music  help   thingsit  difficult    set        help   tekkie"
"1036","     bose love   house music"
"1037","alexa hardly  "
"1038","easy setup using  app    easy  install   phone   sound quality   listening  music  pandora  wonderful"
"1039","im  learning     echo     love "
"1040"," awesome"
"1041"," "
"1042","    speaker  sounds "
"1043"," sound   size   prize   coursealexa"
"1044","  dont   echo  definitely  "
"1045"," device        st generation"
"1046"," useful"
"1047"," prime day buy"
"1048"," love alexa"
"1049","alexa  easy  operate  set         days   love "
"1050"," speaker   lot  capabilities  fun  learn    "
"1051","   product   phone  look   weather  watch videos"
"1052","dont          synced  kasacam     check    baby   crib  lot lyrics  music  cool         clock  standard dotish features"
"1053","amazing        day"
"1054","         understood commands  easily   firstgen original echo "
"1055","worthy successor   echo dot    home   bed    alarm clock     price      stand"
"1056"," love  device   functionality   amazon echo   added benefit   video screen  looks    nightstand   clock lots    choose   displays weather reminders etc      video calls     facetime   anyway    shape  doesnt    lot   im planning       guest  awesome    price"
"1057"," love  echo spot  bedside alarm clock size device    theecho      concerned       echo  mybedroom  answered  alexa    devices   home  wasconcerned    devices answering    time   discoveredthat    name choices         avoid confusioni named  echo      choose  male voice  loved    link  tomy security camera    doorbell    features dont forget  buy thestandbase   advantages    read  reviews highly recommend"
"1058"," love  little spot        sound      little thingmy music plays nice  loud    video  terrifici  watching  prime     heck       impressed immediately convinced  mom  buy  sister    birthdayonly   kept   giving   starsi  wish   cordless  love     kitchen  trying      plug     pain   wont connect   bluetooth speaker  playing amazon prime music   reason    drag     hear    dining   dinner  course    cordless    bring   meotherwise  absolutely love    probably buy  "
"1059"," bought  prime day   glad    easy    lots  customization options    reviews    screen    hard  read   disagree"
"1060","honestly        time  dont    bought       exact      half  bought    video chat       "
"1061","overall          lyrics   time   date  sometimes  freezes  doesnt respond properlyno error message  lack  connectivityit  stops resetting resolves  "
"1062"," love        echo spot"
"1063","       echo spot   voice command feature         answer  play  music  getting   adjust  echo easy  "
"1064","love  perfect   alarm clock replacement plus   "
"1065"," love  echo spot      checking  weather              alarm clock   bedroom"
"1066"," absolutely love  product wish    bought  instead   dots"
"1067","     able   weather   information quickly     hear music played  speaker      enjoying           creepy    day   husband played  particular song   stereo      day    echo  play music    artist  specifying  particular song   echo played  exact song    artist   husband played   stereo  day      little disconcerting"
"1068","  echo spot  bought      alarm clock  negative   didnt      wake    morning   somewhat groggy  hard  tell alexa     alarm  hard  remember commands  snooze    minutes     clock  buttons    "
"1069","    echo spot       echo dots  love  look   alexia responds"
"1070","love  echo spot"
"1071","   slow compared   echo"
"1072"," love     designed    choices          bed    drop     echo      house frequently  yelling"
"1073","terrific sound    device  nice form factor   nightstand    convenience  seeing  time  temperature    alexa  using video      nice   device   squarerectangular screen"
"1074","  alexa   spot  lot"
"1075","  perfect      little gizmo  bought  primarily   purposes     set wakeup alarms  individual days  set  wakeup music individually   day     control  bedroom light  voice    shut      falling asleep       bed    switch  echo spot    smart plughas  able  accomplish   bonus   getting alexa  play music   amazon prime playlistswhats      sometimes alexa    hard time understanding instructions  repeating  altering        pretty frustrating hopefully  ai     future   added functions"
"1076"," love      easy  "
"1077","    night stand     clock  alarm    morning    weather  news      reminds     appointments  wife   "
"1078","love "
"1079","     fault      wireless     price   feel       sound quality  volume     prefer  tap unless       call options       phones computers  ipads   worth "
"1080"," easy     quicker  looking     cell phone"
"1081"," love   echo spot"
"1082"," love  clock     tell   set  alarm    fussing  buttons"
"1083","couldnt   pleased amazon hit      park looks   runs  love "
"1084","responds easily    ability    night"
"1085","easy setup  love "
"1086","simply amazing   awsome device   ceases  amaze  wake    bang music   sleep softly falling rain drop    kids    touch    scratched  surface     devise  "
"1087","  skeptical       grows     looks           camera"
"1088","sound quality  disappointing"
"1089"," love    especially love            rid    cdalarm clock radio      nightstand"
"1090"," sound  video plus    stuff  alexa   offer    lights   "
"1091"," ease   product"
"1092","  pretty happy   spot       glorified alarm clockradio         cost effective  eh      read  reviews   scrolling issues          stop       "
"1093"," am  entering   smart  technology world  havent figured         pretty cool"
"1094","      anticipated         mean        quality sound easily programmed easy     alexa        voice programs"
"1095",NA
"1096","love  echo spot"
"1097"," deal  product"
"1098","perfect"
"1099","   couple  echo dots previously  bought  specifically   ring doorbell video  cloud cam display  interface capabilities   disappointed love         front yard   yard  front door etcthe video chat        coolbonus alexa   ant  trailer etci        laptopdesktop   cool    appliance thats      doesnt interrupt  im doing"
"1100","bought    bedroom      living  love    spot  perfect  bedside    impressive design  lyrics photos  etc  paired    smart plug   bedroom lamps  alexa   lights  love "
"1101","love        sits   nightstand  improvements      battery   capability   screen    tad bigger  overall im happy     recommend"
"1102","   gift   recipient love love loves  "
"1103","cool little piece  techwere  learning    functions  possibilities      potential    technically challenged wife  figured    video call  daughter"
"1104","   extremely impressed   device    completely changed sleep schedule  replaced  alarm clock    perfect bedside counter device  alarm wake  music weather top news stories etc perfect device            expected    calling feature    huge selling      own item probably  grab  echos   future"
"1105","  alexa device           products  unfortunately  doesnt       ability  play videos   limited     play youtube     play  video  cropping   screen makes  look  strange     selection  clock     control   displays   glaring   annoying exception   cant       try  screen      screen scroll   defeats  purpose    screen   dont    reminded          alexa   dont   advertising especially   cost   device  overall   expensive alexa device   screen thats   useful  annoying     recommend    amazon people   act       screen thats actually useful"
"1106","   "
"1107"," device  perfect   smart nightstand clock  love   dims based   ambient light       nightstand clock      bedroom     lighting  glow  typical alarm clocks bother   trying  sleep  screen   dims   lights         bothersome  alloverall   addition   smart home  nice   able  tell alexa   onoff  bedroom lights   getting   bed  reaching   phone    bunch   alexa devices         screen"
"1108"," love    talk    walls         amazon lover       amazon music unlimited kindle unlimited prime video etc    ready        screen    nice  havethe   resembling       doesnt  perfectly understand  song    hear      deep southern accent lower alabama   dont speak english anyways"
"1109","       happy    stand   sits     bedside table"
"1110","echo spot   except       ring doorbell      website    sold   pair       app ready  unfortunately       ring  update      integrated"
"1111","nice"
"1112","  "
"1113",NA
"1114","weve owned    echo devices   viewed      toy   tool    playing music   sound system  havent found        dont   voice user interface     efficient   echo spot solves  efficiency   displaying  information  youre routinely    furthermore     basic navigation using  touch screen    tailor  settings       bedside clocks"
"1115"," love  echo spot  waking   favorite music   able  completely   display  night   bedroom  dark    skills     try  easy  "
"1116","       im  able    ring cameras"
"1117","  checking    son  school  im     love getting  weather  traffic   morning    plan  route accordingly"
"1118","love  super fun easy         involved"
"1119"," returnef  item     speak spanish"
"1120",NA
"1121"," am  hardcore fan  echo infact  am  love      alexa family   echo echo dot echo plus     toddler echo spot  variant   own beauty  love feel  size  echo spot  fabulous    looks  concerned      audio quality     expect   time  placing     compact   size  bought   connect   bose soundtouch"
"1122","love "
"1123"," love  able   alexa sing careless whisper   ear  wake  "
"1124","    bedside clock   microphone  alexa doesnt      normal echo  sometimes alexa doesnt hear    try  interrupt      instructions   speaker  isnt     normal echo  screen      useful  viewing  type  video   seeing whos   front door       bedside"
"1125","fun tech toy"
"1126","love     sound"
"1127","  combination   smart plugins   alex app    stuff      phone  telling alexa       stuff  answers watch videos  weather set alarms video call       device"
"1128"," product"
"1129","  matter  minutes   indispensable addition   house extrimelly useful hub  information music automation communication  assistant  basic   love    voice personalization        aloud  typed  door unlocking codes      unwitty developers    positive experience  privacy invasions  happened   alexa     phone  matter brand  carrier  alexa defence  list    button    microphone "
"1130"," love  device       alarm clock    surprisingly  speaker  reason  didnt   stars          features  playing youtube videos  google play music  camera      low light   decide  drop    dark   roomother   minor   love   buy   buy "
"1131","hands free control"
"1132"," love  display  easy     learning      everyday"
"1133","   able  interpret  instructions pretty     start    distance  lot   skills  excellent ive added     late    flash briefing   ridiculous   cant access youtubeit     note  adding  event   calendar   task      difficulty   time span   event  imagine    functionality people   "
"1134","setup  easy     fantastic alarm clock"
"1135"," product highly recommend getting  stand  goes    sits     desk"
"1136","eh  cool     kinda boring  dont             desk clock       cant connect   spotify unless  premium  im  college  im  paying    amazon music "
"1137"," am huge amazon fan     kindle   echo  waited  bit        awhile   love   kids love   love watching videos   lyrics   songs   video calling feature      advertisement           facetime          cant  spot  spot cant  skype       aunt    major disappointment  "
"1138","love love love      notice    doesnt pickup  voice  commands     echo  echo dots    echo products throughout  house      kitchen    bedroom   alarm clock im   searching   pen  paper   lists"
"1139","love  amazon products"
"1140","love "
"1141","love  spot     dot   regular echo"
"1142","nice upgrade   echo dot"
"1143"," decent wish   able  answer  questionsneed   source  info   rest  "
"1144"," cant live  alexa"
"1145","    screen   major plus"
"1146","didnt  id   alexa device    perfect   home office   screen adds   little piece  makes  worth  extra cost    alexa devices     lyrics  songs play  xm radio   videos  movie trailers  news   "
"1147"," love         echo dot    music   home   am waiting      sale   hopefully     spot   bedroom   love  alarm  weather   sound   voice"
"1148","   received  product        week ago  device served   video advertisement  pm  night  scared    family          protected  dont allow video directly   home  spot    device     safe"
"1149"," fun    makes  life easier   sense"
"1150","love "
"1151",NA
"1152",NA
"1153","   echo spot  prime day  love        little expensive   chance  save  convinced   buy   basically     radio alarm clock     radio  stations  sometimes         sleep sounds skill  hearing  weather im  exploring   skillsjust discovered  star trek sounds alexa beam     fun"
"1154","love  replaced   alarm clock   bedroom    love   dims  night  responsive  commands"
"1155","love  spot      expected  size   bedroom"
"1156","         am trying  figure         product       easy  set "
"1157","   couple  days alexa   answer   disconnected          reconnecting"
"1158","perfect  favorite alexa device   specially   own ring cameras  amazon cams    job     changed  echo   main living        reactive  job amazon"
"1159","     music "
"1160"," wont receive calls    hard  call     echo"
"1161","    step   smart home soon   added  item   grocery list  started loving   wife  soso   til   rain sounds shes  convert  love    dots"
"1162","  little spot    guest   alexa enabled"
"1163"," love  echo spots       house      drop     spots   wish  clock    customization options        "
"1164","  smart  sweet design"
"1165","   ok"
"1166","love   bedside clockalarmradio    dimat night    bright  sleeping"
"1167","love  product      bedroom clock perfect size   lot   options          add      ability  fall asleep  mu    set  timer        own     tv  hcfe sleep mode"
"1168","love   glad  purchased"
"1169","     security video cameras      phone    extremely easy  set "
"1170"," echo spot  "
"1171"," bot   prime day      clockradio   bedroom     family   control lights  watch  front door   doorbell rings  music sound         echo      dots      buy  amazon device     spot"
"1172"," bought     office     bedside table   fantastic  screen      using  drop  feature  communicate   mom  cant wait  prime day       moms bedside table"
"1173","fantastic product absolutely love "
"1174","love "
"1175","    product  bought   prime day   week    cheaper  prime day    cool device  wish    waited"
"1176"," learning   ise      disappoint im giving    christmas    check    unnannounced    mejust     advanced warning"
"1177"," helpful  daily activities"
"1178","exactly  advertised"
"1179","  nice"
"1180","   expected     timers alarms shopping lists calendar events news weather    "
"1181",""
"1182","      trivia games  shopping    funsometimes  misunderstands         speaker  decent video chat            lit         lol"
"1183","fun     learning    "
"1184","awesome  love     lyrics  songs"
"1185","love  alarm featurejust tell  time"
"1186","   dot listens   spot"
"1187","  dot  upgraded        complaint    short instructions"
"1188"," step    dot dropped  star due  consistent delay  bringing  ring pro video  looks    feed  displayed"
"1189","easy set      bought     house        grandfather  set          minute lesson   calls      day      able      visits"
"1190","       clock   bedroom    font        distance   apparently  cant change "
"1191"," size  bedside plus  dims  night"
"1192"," love        issue   drop  facetime  feature sometimes lags    possibly   issue   wifi      located   house"
"1193","love   meditation music      morning alarm   mention     love "
"1194"," dont            allinone alarm clock      alexa devices          looking    alarm clock       yes           time     weather  touch screen    music lyrics        typical alexa device     loud   size   sound    echo dot     video calling   pretty awesome   viewing angle       sitting fairly        display  "
"1195","quick  easy  set "
"1196","  hoping    clock      alarm clock replacement    display brightness dims    night  accomplish  taskthe display    camera viewingit   attractive device   decent value  "
"1197"," device"
"1198","im  fan  echo devices      alternative   clean clock   using   adjust  lightning     listening  sounds  help sleep     sleeps            tell     stories  issue   volume  alexa speaking   tell      lights  loud   volume  set      listen   music  night"
"1199"," own  echo devices consider  addicted  little   awesome        displays  sound        dependable functionality   echo devices  feature       slowly dims      bedroom light     night light   bit  love echo devices     run      "
"1200"," enjoy  little   lot          jokes  tells  im  learning  functions"
"1201","meh"
"1202"," looking echo device easy  "
"1203"," helpful product    glitches eg inability  occasionally access  flash briefing stations  understand  answer  questions  amazon   fix  improve "
"1204","    convenient"
"1205"," love  size   echo spot  fits   nightstand      capabilities   echo      sleep   lightening storm  images    sounds   relaxing  calling  messaging feature           travel  love  own    alexa products   family  "
"1206"," amazon alexa   nice    wakes     morning  alarms       prime      lot  plays  songs     play      playlists   favorite songs  love  alexa    games   play ad   watch videos  movie trailers   screen"
"1207","love  spot"
"1208","easy   easy  set "
"1209"," love  echo spot   daughter  son  law     birthday alexa wakes   morning  plays music   "
"1210"," product currently   related software flaws    completely unusable     card    homescreen called    try     ad   alexa services   try        homescreen cards      default  homescreen cards  cycle  automatically   incredibly annoying    setting    opt    cards   cycle   instead   cycle continuously   critically  setting     unit   set   cycle     cards  continue  cycle   time  rebooted  device reset etc etcuntil   obvious software issues  fixed   opinion  product  useless"
"1211"," deal  prime day"
"1212"," "
"1213","excelente su funcionamiento  llama la atención la rapidez de respuesta  el control que se logra  través de la utilización con alexa  sorprendió gratamente muy recomendable"
"1214"," love love  "
"1215","purchased   prime day   absolutely love      echo dot   nightstand    missed  display   perfect   speakers  excellent"
"1216","yes  met  expectations   snooze   alarm       tap    snoozes swipe    prompts   dismiss     glasses  cant read      snoozes    day    dismissed tomorrows alarm          set  monthu  fri  dont         apparent indicator   alarm set   nice    alarm   red light"
"1217"," product     screen   alarm clock"
"1218","  fun easy  convenient device     house    pick   phone  look      words   world    fingertips  speaker    sound   screen  crisp  price     device  "
"1219","  replacement   bedside alarm clock    funny habit     am  time  cleaning ladies          ceiling fan lights     leaving  fan running  gripe    mic sensitivity  doesnt appear      view  gen     little frustrating   repeat yourself"
"1220"," product    life  simpler   little      lot  music      hands    onoff  updown   breeze  screen    novelty    watch  news"
"1221","    easy  set "
"1222","love  spot   acts    alarm"
"1223","      favorite amazon devices      bedroom    alarm clock perfect addition   home  alexa devices"
"1224","wasnt    bringing  smart technology    home  im hooked  love  sleek look   echo spot   nightstand   easy    set      love   scrolls  news local weather   suggestions     alexa      alarm clock speaker    syncd   etekcity voltson wifi smart plugs  control  lighting   apartment"
"1225","love "
"1226","   harvard law degree  operate       soon"
"1227","love  getting     alexa  getting    voice  sometimes  doesnt answer         internet  low   updating   voice isnt strong    havent     annoying stuff    complaining  thank goodness  didnt listen   reviews   paid attention   apple guy "
"1228","product   randomly  sometimes  night"
"1229","     alarm clock   lov "
"1230","       expecting   cost"
"1231","im amazed"
"1232","alexa wakes   everyday    whatever station  iheart radio  spotify   plus     smart home devices shell    useful   shes  helpful  answering random questions   screen sucks  video      round   nice      time  pictures"
"1233","fun  farstill learning    "
"1234"," purchased   prime day         found   echo plus   kitchen counter   overwhelming  cooking cutting cleaning etc especially   counters arent  wide  begin      forth       decided           features    compact   honestly     regrets   probably wouldnt watch  movie id  dying          listen  music watch  quick youtube video etc   attempted watching jaws      wasnt   comfortable    eyes    wasnt  bad       definitely recommend"
"1235"," love  echo spot      nightstand  alarm clock  play iheartradio radio  getting dressed"
"1236","  easy set         "
"1237","  love        stop  screen  constantly scrolling    try  amazon     setting   change  review   stars"
"1238"," am   business owner   staff   alexa driven echo spot  feel  ive hired   assistant  echo spot   organized updated  assistance    information   help  day run  smoothly  love  echo spot    bought     kids  love  echo spot   highly recommend  productsuggested improvement  future versions   echo spot wireless "
"1239","bedroom clock   questions  weather reportsalarm clock  music  download music"
"1240","speakers    loud  google home"
"1241"," havent figured      receive calls  device tells     register        "
"1242","      controls  custom displays   ability    own clock  thats   lot    device  glad   "
"1243"," buy"
"1244","   daughter   birthday  loves  sound  amazing  plays music   constantly worth  penny    third amazon device purchased    echo     spot"
"1245","   product   alarm clock  love  able  set  schedule   week   worry    images  shown   cut  little   trying  fit    circle"
"1246","love  ease    convenience  echo spot  offered"
"1247"," product      stars    cant scroll  cards    stupid  try   alexa  suggestions pop   yes     scroll    stay   clock      cards   god   worst   irritating     super cheap      screen   wall  treat    dot instead   spot    dumb move  amazons "
